,year,state,state_po,FIPS,county,party,won_proportion
243,2008,Colorado,CO,08055,Huerfano,democrat,0.5459785890749382
244,2008,Colorado,CO,08057,Jackson,democrat,0.30339539978094193
245,2008,Colorado,CO,08059,Jefferson,democrat,0.5359992137245732
246,2008,Colorado,CO,08061,Kiowa,democrat,0.20892018779342722
247,2008,Colorado,CO,08063,Kit Carson,democrat,0.26496223126089485
248,2008,Colorado,CO,08065,Lake,democrat,0.6192538307794804
249,2008,Colorado,CO,08067,La Plata,democrat,0.573894706744344
250,2008,Colorado,CO,08069,Larimer,democrat,0.5398832743293683
251,2008,Colorado,CO,08071,Las Animas,democrat,0.5268451412512942
252,2008,Colorado,CO,08073,Lincoln,democrat,0.23697916666666666
253,2008,Colorado,CO,08075,Logan,democrat,0.3170324161746686
254,2008,Colorado,CO,08077,Mesa,democrat,0.3447889589407017
255,2008,Colorado,CO,08079,Mineral,democrat,0.4333868378812199
256,2008,Colorado,CO,08081,Moffat,democrat,0.2694600579117697
257,2008,Colorado,CO,08083,Montezuma,democrat,0.39416490486257927
258,2008,Colorado,CO,08085,Montrose,democrat,0.3391113663655824
259,2008,Colorado,CO,08087,Morgan,democrat,0.37258159077584524
260,2008,Colorado,CO,08089,Otero,democrat,0.43973214285714285
261,2008,Colorado,CO,08091,Ouray,democrat,0.534640522875817
262,2008,Colorado,CO,08093,Park,democrat,0.4529468187146968
263,2008,Colorado,CO,08095,Phillips,democrat,0.2752212389380531
264,2008,Colorado,CO,08097,Pitkin,democrat,0.737407184427052
265,2008,Colorado,CO,08099,Prowers,democrat,0.3222101841820152
266,2008,Colorado,CO,08101,Pueblo,democrat,0.5674265122122966
267,2008,Colorado,CO,08103,Rio Blanco,democrat,0.20813473149030823
268,2008,Colorado,CO,08105,Rio Grande,democrat,0.449669360764144
269,2008,Colorado,CO,08107,Routt,democrat,0.6265626183801803
270,2008,Colorado,CO,08109,Saguache,democrat,0.6297779395704405
271,2008,Colorado,CO,08111,San Juan,democrat,0.532258064516129
272,2008,Colorado,CO,08113,San Miguel,democrat,0.7698850574712643
273,2008,Colorado,CO,08115,Sedgwick,democrat,0.3464100666173205
274,2008,Colorado,CO,08117,Summit,democrat,0.6578965031210149
275,2008,Colorado,CO,08119,Teller,democrat,0.34968231830156515
276,2008,Colorado,CO,08121,Washington,democrat,0.21050537206526065
277,2008,Colorado,CO,08123,Weld,democrat,0.4467156594185102
278,2008,Colorado,CO,08125,Yuma,democrat,0.2491635065804149
279,2008,Connecticut,CT,09001,Fairfield,democrat,0.5870161714052192
280,2008,Connecticut,CT,09003,Hartford,democrat,0.6515560304527849
281,2008,Connecticut,CT,09005,Litchfield,democrat,0.5162030949731972
282,2008,Connecticut,CT,09007,Middlesex,democrat,0.6077218748207217
283,2008,Connecticut,CT,09009,New Haven,democrat,0.609893146888319
284,2008,Connecticut,CT,09011,New London,democrat,0.5990862822105558
285,2008,Connecticut,CT,09013,Tolland,democrat,0.5963583799697637
286,2008,Connecticut,CT,09015,Windham,democrat,0.6066039915406352
287,2008,Delaware,DE,10001,Kent,democrat,0.5437728800896526
288,2008,Delaware,DE,10003,New Castle,democrat,0.6971768642484703
289,2008,Delaware,DE,10005,Sussex,democrat,0.4524418996295049
290,2008,District of Columbia,DC,11001,District of Columbia,democrat,0.9245710975614343
291,2008,Florida,FL,12001,Alachua,democrat,0.6020204112524797
292,2008,Florida,FL,12003,Baker,democrat,0.21041685505018537
